,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
77,0.2732,0.896,0.0,0.104,78,2018-04-11 17:57:57,1523469477.0
78,0.34,0.833,0.0,0.167,79,2018-04-11 17:57:29,1523469449.0
79,-0.743,0.751,0.249,0.0,80,2018-04-11 17:56:38,1523469398.0
80,0.7964,0.664,0.0,0.336,81,2018-04-11 17:52:53,1523469173.0
81,-0.4939,0.775,0.225,0.0,82,2018-04-11 17:52:15,1523469135.0
82,0.3182,0.839,0.0,0.161,83,2018-04-11 17:51:24,1523469084.0
83,0.0,1.0,0.0,0.0,84,2018-04-11 17:36:06,1523468166.0
84,0.0,1.0,0.0,0.0,85,2018-04-11 17:27:50,1523467670.0
85,0.0,1.0,0.0,0.0,86,2018-04-11 17:25:01,1523467501.0
86,0.4019,0.838,0.0,0.162,87,2018-04-11 17:14:31,1523466871.0
87,0.0,1.0,0.0,0.0,88,2018-04-11 17:13:01,1523466781.0
88,0.0,1.0,0.0,0.0,89,2018-04-11 17:11:02,1523466662.0
89,-0.8176,0.571,0.429,0.0,90,2018-04-11 17:10:35,1523466635.0
90,-0.4956,0.819,0.181,0.0,91,2018-04-11 17:08:05,1523466485.0
91,0.0,1.0,0.0,0.0,92,2018-04-11 17:06:50,1523466410.0
92,0.0,1.0,0.0,0.0,93,2018-04-11 17:04:54,1523466294.0
93,-0.5667,0.774,0.226,0.0,94,2018-04-11 16:56:31,1523465791.0
94,0.4404,0.868,0.0,0.132,95,2018-04-11 16:50:22,1523465422.0
95,-0.1531,0.882,0.118,0.0,96,2018-04-11 16:47:22,1523465242.0
96,0.6249,0.709,0.0,0.291,97,2018-04-11 16:14:04,1523463244.0
97,0.0,1.0,0.0,0.0,98,2018-04-11 16:11:29,1523463089.0
98,0.0,1.0,0.0,0.0,99,2018-04-11 16:11:06,1523463066.0
99,0.0,1.0,0.0,0.0,100,2018-04-11 16:10:01,1523463001.0
