,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
77,-0.3182,0.641,0.221,0.139,78,2018-04-11 12:35:13,1523450113.0
78,0.0,1.0,0.0,0.0,79,2018-04-11 12:33:52,1523450032.0
79,0.3595,0.894,0.0,0.106,80,2018-04-11 12:32:34,1523449954.0
80,-0.6705,0.8,0.2,0.0,81,2018-04-11 12:30:26,1523449826.0
81,0.0,1.0,0.0,0.0,82,2018-04-11 12:27:32,1523449652.0
82,0.0,1.0,0.0,0.0,83,2018-04-11 12:20:37,1523449237.0
83,0.2732,0.782,0.078,0.14,84,2018-04-11 12:15:01,1523448901.0
84,0.0,1.0,0.0,0.0,85,2018-04-11 12:14:16,1523448856.0
85,-0.1779,0.844,0.093,0.063,86,2018-04-11 12:11:31,1523448691.0
86,0.0,1.0,0.0,0.0,87,2018-04-11 12:05:28,1523448328.0
87,-0.6249,0.683,0.317,0.0,88,2018-04-11 12:00:01,1523448001.0
88,0.0,1.0,0.0,0.0,89,2018-04-11 11:54:22,1523447662.0
89,-0.2023,0.917,0.083,0.0,90,2018-04-11 11:45:49,1523447149.0
90,0.0,1.0,0.0,0.0,91,2018-04-11 11:38:40,1523446720.0
91,-0.5994,0.837,0.163,0.0,92,2018-04-11 11:35:15,1523446515.0
92,0.0,1.0,0.0,0.0,93,2018-04-11 11:34:29,1523446469.0
93,-0.296,0.885,0.115,0.0,94,2018-04-11 11:30:01,1523446201.0
94,0.0,1.0,0.0,0.0,95,2018-04-11 11:28:06,1523446086.0
95,-0.3182,0.813,0.124,0.062,96,2018-04-11 11:23:49,1523445829.0
96,0.0,1.0,0.0,0.0,97,2018-04-11 11:22:41,1523445761.0
97,0.0,1.0,0.0,0.0,98,2018-04-11 11:16:50,1523445410.0
98,-0.3818,0.795,0.205,0.0,99,2018-04-11 11:15:01,1523445301.0
99,-0.296,0.645,0.222,0.133,100,2018-04-11 11:14:58,1523445298.0
