,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
76,-0.3182,0.779,0.139,0.082,77,2018-03-28 10:51:20,1522234280.0
77,-0.4588,0.875,0.125,0.0,78,2018-03-28 09:57:58,1522231078.0
78,-0.7845,0.638,0.306,0.055,79,2018-03-28 09:41:54,1522230114.0
79,-0.7906,0.65,0.297,0.053,80,2018-03-28 09:10:30,1522228230.0
80,0.0,1.0,0.0,0.0,81,2018-03-27 23:45:38,1522194338.0
81,0.0,1.0,0.0,0.0,82,2018-03-27 17:29:25,1522171765.0
82,-0.6705,0.776,0.224,0.0,83,2018-03-27 11:01:59,1522148519.0
83,-0.4404,0.847,0.153,0.0,84,2018-03-26 13:24:25,1522070665.0
84,-0.3818,0.874,0.126,0.0,85,2018-03-26 13:16:26,1522070186.0
85,-0.7003,0.734,0.266,0.0,86,2018-03-26 13:03:08,1522069388.0
86,-0.8834,0.586,0.414,0.0,87,2018-03-26 12:17:49,1522066669.0
87,0.0772,0.717,0.135,0.148,88,2018-03-26 10:33:59,1522060439.0
88,-0.4019,0.736,0.169,0.095,89,2018-03-26 09:47:07,1522057627.0
89,-0.7184,0.7,0.3,0.0,90,2018-03-26 08:44:46,1522053886.0
90,-0.6908,0.749,0.251,0.0,91,2018-03-25 20:44:46,1522010686.0
91,0.296,0.514,0.215,0.271,92,2018-03-25 18:03:27,1522001007.0
92,-0.6808,0.741,0.259,0.0,93,2018-03-25 10:55:46,1521975346.0
93,-0.4404,0.861,0.139,0.0,94,2018-03-25 08:36:35,1521966995.0
94,0.0,1.0,0.0,0.0,95,2018-03-25 04:15:34,1521951334.0
95,0.0,1.0,0.0,0.0,96,2018-03-24 05:10:49,1521868249.0
96,0.25,0.882,0.0,0.118,97,2018-03-23 19:12:46,1521832366.0
97,0.0,1.0,0.0,0.0,98,2018-03-23 18:30:02,1521829802.0
98,-0.886,0.574,0.426,0.0,99,2018-03-23 16:17:23,1521821843.0
99,-0.891,0.569,0.431,0.0,100,2018-03-23 14:59:09,1521817149.0
